label;cellStrength;cellType;timeStampNetwork;hAccuracyNetwork;vAccuracyNetwork;bAccuracyNetwork;speedAccuracyNetwork;networkLocationType;timeStampGPS;hAccuracyGPS;vAccuracyGPS;bAccuracyGPS;speedAccuracyGPS;nrSatellitesInView;nrSatellitesInFix;minCn0GPS;meanCn0GPS;maxCn0GPS;satellites;nrBlDevices;minCn0Bl;meanCn0Bl;maxCn0Bl;bluetoothDevices;nrWifiDevices;minCn0Wifi;meanCn0Wifi;maxCn0Wifi;wifiDevices
Indoor;3;HSPAP;N/A;0.0;0.0;0.0;0.0;N/A;13:17:54;5.7;34.3;117.7;2.3;32; 5.0;20.2;25.0;32.0;[{"constellation":"GPS","svid":20,"cn0":32.4},{"constellation":"GPS","svid":5,"cn0":27.8},{"constellation":"GLONASS","svid":12,"cn0":24.7},{"constellation":"GLONASS","svid":5,"cn0":23.6},{"constellation":"GPS","svid":12,"cn0":20.2}];0;0;0.0;-100.0;[];3;-89;-86.333336;-85;[{"SSID":"Kjaidhau Tenda","level":-89},{"SSID":"cf-intern","level":-85},{"SSID":"cleverfitclasses","level":-85}]
Indoor;3;HSPAP;N/A;0.0;0.0;0.0;0.0;N/A;13:17:57;5.5;36.4;179.9;3.8;42; 5.0;20.0;25.0;30.0;[{"constellation":"GPS","svid":20,"cn0":30.8},{"constellation":"GPS","svid":5,"cn0":27.8},{"constellation":"GLONASS","svid":12,"cn0":25.8},{"constellation":"GLONASS","svid":5,"cn0":23.8},{"constellation":"GPS","svid":12,"cn0":20}];1;-48;-48.0;-48.0;[{"rssi":-48,"majorClass":"Uncategorised","class":"Unknown Device Class"}];3;-89;-86.333336;-85;[{"SSID":"Kjaidhau Tenda","level":-89},{"SSID":"cf-intern","level":-85},{"SSID":"cleverfitclasses","level":-85}]
Indoor;3;HSPAP;13:17:57;110.0;23.401405;0.0;0.0;N/A;13:17:59;5.4;40.5;179.9;2.7;43; 5.0;19.9;25.0;31.0;[{"constellation":"GPS","svid":20,"cn0":31.6},{"constellation":"GPS","svid":5,"cn0":27.6},{"constellation":"GLONASS","svid":12,"cn0":26.3},{"constellation":"GLONASS","svid":5,"cn0":23.7},{"constellation":"GPS","svid":12,"cn0":19.9}];1;-48;-48.0;-48.0;[{"rssi":-48,"majorClass":"Uncategorised","class":"Unknown Device Class"}];3;-89;-86.333336;-85;[{"SSID":"Kjaidhau Tenda","level":-89},{"SSID":"cf-intern","level":-85},{"SSID":"cleverfitclasses","level":-85}]
Indoor;3;HSPAP;13:17:57;110.0;23.401405;0.0;0.0;N/A;13:18:01;5.3;45.0;129.5;2.0;43; 10.0;17.8;22.0;31.0;[{"constellation":"GPS","svid":20,"cn0":31.5},{"constellation":"GPS","svid":5,"cn0":27.6},{"constellation":"GLONASS","svid":12,"cn0":26.2},{"constellation":"GLONASS","svid":5,"cn0":23.7},{"constellation":"GLONASS","svid":21,"cn0":21.3},{"constellation":"GPS","svid":25,"cn0":21.2},{"constellation":"GPS","svid":12,"cn0":20.1},{"constellation":"BEIDOU","svid":36,"cn0":18.5},{"constellation":"BEIDOU","svid":29,"cn0":18.4},{"constellation":"BEIDOU","svid":13,"cn0":17.8}];2;-96;-72.0;-48.0;[{"rssi":-48,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"}];3;-89;-86.333336;-85;[{"SSID":"Kjaidhau Tenda","level":-89},{"SSID":"cf-intern","level":-85},{"SSID":"cleverfitclasses","level":-85}]
Indoor;3;HSPAP;13:17:57;110.0;23.401405;0.0;0.0;N/A;13:18:03;5.2;40.3;139.5;1.8;43; 12.0;15.8;21.0;31.0;[{"constellation":"GPS","svid":20,"cn0":31.4},{"constellation":"GPS","svid":5,"cn0":27.6},{"constellation":"GLONASS","svid":12,"cn0":26.1},{"constellation":"GLONASS","svid":5,"cn0":23.6},{"constellation":"BEIDOU","svid":30,"cn0":22.4},{"constellation":"GLONASS","svid":21,"cn0":21.6},{"constellation":"GPS","svid":25,"cn0":21.2},{"constellation":"BEIDOU","svid":29,"cn0":20.9},{"constellation":"GPS","svid":12,"cn0":20.3},{"constellation":"BEIDOU","svid":36,"cn0":18.8},{"constellation":"GALILEO","svid":33,"cn0":17.7},{"constellation":"BEIDOU","svid":13,"cn0":15.8}];2;-96;-72.0;-48.0;[{"rssi":-48,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"}];3;-89;-86.333336;-85;[{"SSID":"Kjaidhau Tenda","level":-89},{"SSID":"cf-intern","level":-85},{"SSID":"cleverfitclasses","level":-85}]
Indoor;3;HSPAP;13:17:57;110.0;23.401405;0.0;0.0;N/A;13:18:05;5.0;36.8;179.9;1.9;43; 13.0;18.3;21.0;31.0;[{"constellation":"GPS","svid":20,"cn0":31},{"constellation":"GPS","svid":5,"cn0":28.1},{"constellation":"GLONASS","svid":12,"cn0":23.7},{"constellation":"GLONASS","svid":5,"cn0":23.5},{"constellation":"GLONASS","svid":21,"cn0":21.7},{"constellation":"BEIDOU","svid":29,"cn0":21.6},{"constellation":"GPS","svid":25,"cn0":21.2},{"constellation":"BEIDOU","svid":30,"cn0":21.2},{"constellation":"GPS","svid":12,"cn0":20.3},{"constellation":"GPS","svid":28,"cn0":20},{"constellation":"GALILEO","svid":33,"cn0":19},{"constellation":"BEIDOU","svid":36,"cn0":18.9},{"constellation":"BEIDOU","svid":13,"cn0":18.3}];3;-96;-79.0;-48.0;[{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-48,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"}];3;-89;-86.333336;-85;[{"SSID":"Kjaidhau Tenda","level":-89},{"SSID":"cf-intern","level":-85},{"SSID":"cleverfitclasses","level":-85}]
Indoor;3;HSPAP;13:17:57;110.0;23.401405;0.0;0.0;N/A;13:18:07;4.8;36.3;179.9;1.7;43; 14.0;18.3;21.0;31.0;[{"constellation":"GPS","svid":20,"cn0":31.4},{"constellation":"GPS","svid":5,"cn0":28.4},{"constellation":"GLONASS","svid":12,"cn0":23.8},{"constellation":"GLONASS","svid":21,"cn0":21.8},{"constellation":"BEIDOU","svid":29,"cn0":21.7},{"constellation":"BEIDOU","svid":30,"cn0":21.2},{"constellation":"GPS","svid":25,"cn0":21.1},{"constellation":"GLONASS","svid":5,"cn0":20.9},{"constellation":"GPS","svid":12,"cn0":20.4},{"constellation":"GPS","svid":28,"cn0":20},{"constellation":"BEIDOU","svid":36,"cn0":19.1},{"constellation":"GALILEO","svid":33,"cn0":19},{"constellation":"GPS","svid":29,"cn0":18.3},{"constellation":"BEIDOU","svid":13,"cn0":18.3}];3;-96;-79.0;-48.0;[{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-48,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"}];3;-89;-86.333336;-85;[{"SSID":"Kjaidhau Tenda","level":-89},{"SSID":"cf-intern","level":-85},{"SSID":"cleverfitclasses","level":-85}]
Indoor;3;HSPAP;13:17:57;110.0;23.401405;0.0;0.0;N/A;13:18:09;4.6;35.5;179.9;1.5;43; 14.0;15.1;20.0;31.0;[{"constellation":"GPS","svid":20,"cn0":31.4},{"constellation":"GPS","svid":5,"cn0":26.9},{"constellation":"GLONASS","svid":12,"cn0":23.7},{"constellation":"GLONASS","svid":21,"cn0":21.8},{"constellation":"BEIDOU","svid":29,"cn0":21.8},{"constellation":"BEIDOU","svid":30,"cn0":21.3},{"constellation":"GPS","svid":25,"cn0":21.2},{"constellation":"GPS","svid":12,"cn0":20.4},{"constellation":"GPS","svid":28,"cn0":19.9},{"constellation":"BEIDOU","svid":36,"cn0":19},{"constellation":"GPS","svid":29,"cn0":18},{"constellation":"BEIDOU","svid":13,"cn0":16.8},{"constellation":"GLONASS","svid":5,"cn0":16.4},{"constellation":"GALILEO","svid":33,"cn0":15.1}];3;-96;-79.0;-48.0;[{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-48,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"}];2;-96;-93.5;-91;[{"SSID":"LiwestCFEA","level":-96},{"SSID":"Kjaidhau Tenda","level":-91}]
Indoor;3;HSPAP;13:17:57;110.0;23.401405;0.0;0.0;N/A;13:18:11;4.6;34.8;179.9;1.4;43; 12.0;15.1;21.0;31.0;[{"constellation":"GPS","svid":20,"cn0":31.9},{"constellation":"GPS","svid":5,"cn0":28.1},{"constellation":"BEIDOU","svid":30,"cn0":24.7},{"constellation":"GLONASS","svid":21,"cn0":22},{"constellation":"BEIDOU","svid":29,"cn0":21.9},{"constellation":"GPS","svid":25,"cn0":21.1},{"constellation":"GLONASS","svid":12,"cn0":21},{"constellation":"GPS","svid":12,"cn0":20.1},{"constellation":"BEIDOU","svid":36,"cn0":18.7},{"constellation":"BEIDOU","svid":13,"cn0":15.2},{"constellation":"GALILEO","svid":33,"cn0":15.1}];3;-96;-79.0;-48.0;[{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-48,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"}];2;-96;-93.5;-91;[{"SSID":"LiwestCFEA","level":-96},{"SSID":"Kjaidhau Tenda","level":-91}]
Indoor;3;HSPAP;13:17:57;110.0;23.401405;0.0;0.0;N/A;13:18:13;4.6;37.4;179.9;2.3;43; 12.0;15.0;21.0;31.0;[{"constellation":"GPS","svid":20,"cn0":31.7},{"constellation":"GPS","svid":5,"cn0":28.1},{"constellation":"BEIDOU","svid":30,"cn0":24.6},{"constellation":"GLONASS","svid":21,"cn0":22.1},{"constellation":"BEIDOU","svid":29,"cn0":21.8},{"constellation":"GLONASS","svid":12,"cn0":21.1},{"constellation":"GPS","svid":25,"cn0":21},{"constellation":"GPS","svid":12,"cn0":19.9},{"constellation":"BEIDOU","svid":36,"cn0":18.7},{"constellation":"GALILEO","svid":26,"cn0":15.4},{"constellation":"BEIDOU","svid":13,"cn0":15.4},{"constellation":"GPS","svid":28,"cn0":15},{"constellation":"GALILEO","svid":33,"cn0":15}];3;-96;-79.0;-48.0;[{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-48,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"}];2;-96;-93.5;-91;[{"SSID":"LiwestCFEA","level":-96},{"SSID":"Kjaidhau Tenda","level":-91}]
