label;cellStrength;cellType;timeStampNetwork;hAccuracyNetwork;vAccuracyNetwork;bAccuracyNetwork;speedAccuracyNetwork;networkLocationType;timeStampGPS;hAccuracyGPS;vAccuracyGPS;bAccuracyGPS;speedAccuracyGPS;nrSatellitesInView;nrSatellitesInFix;minCn0GPS;meanCn0GPS;maxCn0GPS;satellites;nrBlDevices;minCn0Bl;meanCn0Bl;maxCn0Bl;bluetoothDevices;nrWifiDevices;minCn0Wifi;meanCn0Wifi;maxCn0Wifi;wifiDevices
Outdoor;4;LTE;18:10:38;16.019;4.7720375;0.0;0.0;N/A;18:10:41;10.7;78.6;179.9;1.5;48; 11.0;20.6;32.0;42.0;[{"constellation":"GPS","svid":23,"cn0":42},{"constellation":"BEIDOU","svid":11,"cn0":41.7},{"constellation":"BEIDOU","svid":22,"cn0":39.9},{"constellation":"GLONASS","svid":14,"cn0":37},{"constellation":"GLONASS","svid":24,"cn0":34.6},{"constellation":"GPS","svid":10,"cn0":34.1},{"constellation":"GPS","svid":21,"cn0":29.6},{"constellation":"GPS","svid":32,"cn0":28.5},{"constellation":"GPS","svid":14,"cn0":28.2},{"constellation":"BEIDOU","svid":21,"cn0":27.4},{"constellation":"GPS","svid":27,"cn0":20.6}];4;-99;-96.25;-91.0;[{"rssi":-97,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-99,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-91,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-98,"majorClass":"Uncategorised","class":"Unknown Device Class"}];11;-92;-85.09091;-73;[{"SSID":"EasyLighting_6B5E377A","level":-87},{"SSID":"EasyLighting_23D222AE","level":-81},{"SSID":"Liwest4A73","level":-92},{"SSID":"HP_WLAN","level":-81},{"SSID":"HP_WLAN 5 GHz","level":-84},{"SSID":"Liwest_8e74-5G","level":-89},{"SSID":"Liwest_8e74","level":-83},{"SSID":"TCL-89X7-2.4GHz","level":-73},{"SSID":"EasyLighting_F0FE6B5E1EEE","level":-91},{"SSID":"MAGENTA DaMa151","level":-83},{"SSID":"Liwest436C-5G","level":-92}]
Outdoor;4;LTE;18:10:38;16.019;4.7720375;0.0;0.0;N/A;18:10:41;10.7;78.6;179.9;1.5;48; 11.0;22.7;32.0;42.0;[{"constellation":"GPS","svid":10,"cn0":44},{"constellation":"BEIDOU","svid":11,"cn0":41.7},{"constellation":"GPS","svid":23,"cn0":39.1},{"constellation":"GALILEO","svid":36,"cn0":39.1},{"constellation":"GLONASS","svid":14,"cn0":38.1},{"constellation":"BEIDOU","svid":22,"cn0":37.2},{"constellation":"GPS","svid":21,"cn0":33.8},{"constellation":"GLONASS","svid":7,"cn0":30.4},{"constellation":"GLONASS","svid":24,"cn0":30.4},{"constellation":"GPS","svid":32,"cn0":28.5},{"constellation":"GPS","svid":14,"cn0":26.8},{"constellation":"BEIDOU","svid":21,"cn0":23.1},{"constellation":"GPS","svid":27,"cn0":22.7},{"constellation":"GPS","svid":2,"cn0":22.7}];5;-99;-93.4;-82.0;[{"rssi":-97,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-99,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-82,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-91,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-98,"majorClass":"Uncategorised","class":"Unknown Device Class"}];11;-92;-85.09091;-73;[{"SSID":"EasyLighting_6B5E377A","level":-87},{"SSID":"EasyLighting_23D222AE","level":-81},{"SSID":"Liwest4A73","level":-92},{"SSID":"HP_WLAN","level":-81},{"SSID":"HP_WLAN 5 GHz","level":-84},{"SSID":"Liwest_8e74-5G","level":-89},{"SSID":"Liwest_8e74","level":-83},{"SSID":"TCL-89X7-2.4GHz","level":-73},{"SSID":"EasyLighting_F0FE6B5E1EEE","level":-91},{"SSID":"MAGENTA DaMa151","level":-83},{"SSID":"Liwest436C-5G","level":-92}]
Outdoor;4;LTE;18:10:38;16.019;4.7720375;0.0;0.0;N/A;18:10:44;15.1;142.1;134.3;2.8;48; 12.0;24.6;32.0;42.0;[{"constellation":"BEIDOU","svid":11,"cn0":42.3},{"constellation":"GPS","svid":10,"cn0":40.3},{"constellation":"GLONASS","svid":14,"cn0":38.5},{"constellation":"GALILEO","svid":36,"cn0":38.3},{"constellation":"GLONASS","svid":24,"cn0":31.5},{"constellation":"GLONASS","svid":7,"cn0":30.6},{"constellation":"GPS","svid":32,"cn0":28.6},{"constellation":"GPS","svid":21,"cn0":26.9},{"constellation":"GALILEO","svid":34,"cn0":26.5},{"constellation":"GPS","svid":27,"cn0":25.1},{"constellation":"BEIDOU","svid":21,"cn0":24.7},{"constellation":"GPS","svid":14,"cn0":24.6}];8;-99;-81.5;-43.0;[{"rssi":-97,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-99,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-43,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-82,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-91,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-46,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-98,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"}];11;-92;-85.09091;-73;[{"SSID":"EasyLighting_6B5E377A","level":-87},{"SSID":"EasyLighting_23D222AE","level":-81},{"SSID":"Liwest4A73","level":-92},{"SSID":"HP_WLAN","level":-81},{"SSID":"HP_WLAN 5 GHz","level":-84},{"SSID":"Liwest_8e74-5G","level":-89},{"SSID":"Liwest_8e74","level":-83},{"SSID":"TCL-89X7-2.4GHz","level":-73},{"SSID":"EasyLighting_F0FE6B5E1EEE","level":-91},{"SSID":"MAGENTA DaMa151","level":-83},{"SSID":"Liwest436C-5G","level":-92}]
Outdoor;4;LTE;18:10:38;16.019;4.7720375;0.0;0.0;N/A;18:10:46;9.0;72.9;60.8;2.6;48; 13.0;20.6;32.0;42.0;[{"constellation":"BEIDOU","svid":22,"cn0":42.3},{"constellation":"BEIDOU","svid":11,"cn0":39.2},{"constellation":"GLONASS","svid":14,"cn0":39.1},{"constellation":"GALILEO","svid":36,"cn0":35.7},{"constellation":"GPS","svid":10,"cn0":35.6},{"constellation":"GPS","svid":23,"cn0":33.4},{"constellation":"BEIDOU","svid":21,"cn0":33.4},{"constellation":"GPS","svid":32,"cn0":32.4},{"constellation":"GPS","svid":21,"cn0":32},{"constellation":"GLONASS","svid":24,"cn0":30.2},{"constellation":"GPS","svid":27,"cn0":24.5},{"constellation":"GLONASS","svid":7,"cn0":23.6},{"constellation":"GPS","svid":14,"cn0":22.7},{"constellation":"GALILEO","svid":34,"cn0":20.6}];9;-99;-83.111115;-43.0;[{"rssi":-97,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-99,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-43,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-82,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-91,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-46,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-98,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"}];11;-92;-85.09091;-73;[{"SSID":"EasyLighting_6B5E377A","level":-87},{"SSID":"EasyLighting_23D222AE","level":-81},{"SSID":"Liwest4A73","level":-92},{"SSID":"HP_WLAN","level":-81},{"SSID":"HP_WLAN 5 GHz","level":-84},{"SSID":"Liwest_8e74-5G","level":-89},{"SSID":"Liwest_8e74","level":-83},{"SSID":"TCL-89X7-2.4GHz","level":-73},{"SSID":"EasyLighting_F0FE6B5E1EEE","level":-91},{"SSID":"MAGENTA DaMa151","level":-83},{"SSID":"Liwest436C-5G","level":-92}]
Outdoor;4;LTE;18:10:38;16.019;4.7720375;0.0;0.0;N/A;18:10:48;6.2;44.2;179.9;1.9;48; 13.0;16.2;31.0;43.0;[{"constellation":"GPS","svid":10,"cn0":38.9},{"constellation":"GLONASS","svid":14,"cn0":38.9},{"constellation":"BEIDOU","svid":22,"cn0":37.9},{"constellation":"GALILEO","svid":36,"cn0":36},{"constellation":"BEIDOU","svid":11,"cn0":36},{"constellation":"GPS","svid":23,"cn0":33.9},{"constellation":"GLONASS","svid":24,"cn0":33.8},{"constellation":"GPS","svid":32,"cn0":29.7},{"constellation":"GPS","svid":14,"cn0":29.1},{"constellation":"GPS","svid":27,"cn0":28.8},{"constellation":"BEIDOU","svid":21,"cn0":28.8},{"constellation":"GPS","svid":8,"cn0":28.4},{"constellation":"GLONASS","svid":8,"cn0":26.5},{"constellation":"GLONASS","svid":7,"cn0":26.4},{"constellation":"GPS","svid":21,"cn0":24.4},{"constellation":"GALILEO","svid":34,"cn0":16.2}];9;-99;-83.111115;-43.0;[{"rssi":-97,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-99,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-43,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-82,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-91,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-46,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-98,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"}];11;-92;-85.09091;-73;[{"SSID":"EasyLighting_6B5E377A","level":-87},{"SSID":"EasyLighting_23D222AE","level":-81},{"SSID":"Liwest4A73","level":-92},{"SSID":"HP_WLAN","level":-81},{"SSID":"HP_WLAN 5 GHz","level":-84},{"SSID":"Liwest_8e74-5G","level":-89},{"SSID":"Liwest_8e74","level":-83},{"SSID":"TCL-89X7-2.4GHz","level":-73},{"SSID":"EasyLighting_F0FE6B5E1EEE","level":-91},{"SSID":"MAGENTA DaMa151","level":-83},{"SSID":"Liwest436C-5G","level":-92}]
Outdoor;4;LTE;18:10:38;16.019;4.7720375;0.0;0.0;N/A;18:10:52;5.1;34.8;164.8;1.7;48; 17.0;20.0;30.0;43.0;[{"constellation":"BEIDOU","svid":11,"cn0":43.7},{"constellation":"GLONASS","svid":14,"cn0":39},{"constellation":"GPS","svid":10,"cn0":37.7},{"constellation":"GLONASS","svid":24,"cn0":37},{"constellation":"GALILEO","svid":36,"cn0":33.2},{"constellation":"BEIDOU","svid":21,"cn0":32.5},{"constellation":"GPS","svid":23,"cn0":32.4},{"constellation":"BEIDOU","svid":22,"cn0":31.4},{"constellation":"GPS","svid":32,"cn0":31},{"constellation":"GLONASS","svid":7,"cn0":28.6},{"constellation":"GPS","svid":27,"cn0":28.1},{"constellation":"GPS","svid":14,"cn0":28.1},{"constellation":"GPS","svid":8,"cn0":26.4},{"constellation":"GPS","svid":21,"cn0":26.1},{"constellation":"BEIDOU","svid":12,"cn0":24.8},{"constellation":"GPS","svid":2,"cn0":23.2},{"constellation":"GALILEO","svid":34,"cn0":20}];9;-99;-83.111115;-43.0;[{"rssi":-97,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-99,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-43,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-82,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-91,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-46,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-98,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"}];11;-92;-85.09091;-73;[{"SSID":"EasyLighting_6B5E377A","level":-87},{"SSID":"EasyLighting_23D222AE","level":-81},{"SSID":"Liwest4A73","level":-92},{"SSID":"HP_WLAN","level":-81},{"SSID":"HP_WLAN 5 GHz","level":-84},{"SSID":"Liwest_8e74-5G","level":-89},{"SSID":"Liwest_8e74","level":-83},{"SSID":"TCL-89X7-2.4GHz","level":-73},{"SSID":"EasyLighting_F0FE6B5E1EEE","level":-91},{"SSID":"MAGENTA DaMa151","level":-83},{"SSID":"Liwest436C-5G","level":-92}]
Outdoor;4;LTE;18:10:38;16.019;4.7720375;0.0;0.0;N/A;18:10:54;4.9;33.6;179.9;1.4;48; 19.0;13.9;27.0;40.0;[{"constellation":"BEIDOU","svid":22,"cn0":40.9},{"constellation":"GPS","svid":10,"cn0":39.5},{"constellation":"GLONASS","svid":14,"cn0":39.1},{"constellation":"GPS","svid":23,"cn0":36.4},{"constellation":"BEIDOU","svid":21,"cn0":35.5},{"constellation":"GLONASS","svid":7,"cn0":32.7},{"constellation":"BEIDOU","svid":11,"cn0":30.6},{"constellation":"GALILEO","svid":36,"cn0":30.2},{"constellation":"GLONASS","svid":24,"cn0":28.2},{"constellation":"GPS","svid":32,"cn0":26.6},{"constellation":"GPS","svid":21,"cn0":26.1},{"constellation":"BEIDOU","svid":34,"cn0":25.3},{"constellation":"GPS","svid":27,"cn0":24.5},{"constellation":"GPS","svid":8,"cn0":23.8},{"constellation":"BEIDOU","svid":13,"cn0":23.6},{"constellation":"GPS","svid":14,"cn0":22.4},{"constellation":"GPS","svid":2,"cn0":21.4},{"constellation":"GLONASS","svid":15,"cn0":18.9},{"constellation":"GALILEO","svid":34,"cn0":13.9}];10;-99;-84.0;-43.0;[{"rssi":-97,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-99,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-43,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-82,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-91,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-46,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-98,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-92,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"}];17;-93;-83.76471;-72;[{"SSID":"EasyLighting_23D222AE","level":-80},{"SSID":"katfiš","level":-85},{"SSID":"HP_WLAN","level":-72},{"SSID":"HP_WLAN 5 GHz","level":-90},{"SSID":"vivo Y35","level":-86},{"SSID":"ZTE_A70A8F","level":-82},{"SSID":"Liwest_8e74-5G","level":-92},{"SSID":"cleverfitclasses","level":-84},{"SSID":"Liwest_eddc-5G","level":-93},{"SSID":"cf-intern","level":-83},{"SSID":"Liwest_8e74","level":-72},{"SSID":"TCL-89X7-2.4GHz","level":-72},{"SSID":"Liwest_eddc","level":-90},{"SSID":"TCL-89X7-5GHz","level":-85},{"SSID":"EasyLighting_F0FE6B5E1EEE","level":-82},{"SSID":"clever fit","level":-83},{"SSID":"Liwest2472-EXT","level":-93}]
Outdoor;4;LTE;18:10:38;16.019;4.7720375;0.0;0.0;N/A;18:10:56;4.6;32.4;179.9;1.1;48; 21.0;13.9;28.0;44.0;[{"constellation":"GPS","svid":23,"cn0":44.2},{"constellation":"BEIDOU","svid":11,"cn0":43.2},{"constellation":"GLONASS","svid":14,"cn0":42.1},{"constellation":"GALILEO","svid":36,"cn0":38.8},{"constellation":"BEIDOU","svid":22,"cn0":38.2},{"constellation":"GPS","svid":10,"cn0":32.4},{"constellation":"GLONASS","svid":7,"cn0":31.1},{"constellation":"GLONASS","svid":24,"cn0":31.1},{"constellation":"BEIDOU","svid":21,"cn0":30.8},{"constellation":"GPS","svid":21,"cn0":30.2},{"constellation":"BEIDOU","svid":13,"cn0":27.2},{"constellation":"BEIDOU","svid":34,"cn0":27},{"constellation":"GPS","svid":32,"cn0":24.9},{"constellation":"BEIDOU","svid":12,"cn0":24.8},{"constellation":"GPS","svid":27,"cn0":24.6},{"constellation":"GPS","svid":8,"cn0":23.6},{"constellation":"BEIDOU","svid":14,"cn0":23.6},{"constellation":"GPS","svid":14,"cn0":22.6},{"constellation":"GLONASS","svid":8,"cn0":21.5},{"constellation":"GLONASS","svid":15,"cn0":19.3},{"constellation":"GALILEO","svid":34,"cn0":13.9}];10;-99;-84.0;-43.0;[{"rssi":-97,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-99,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-43,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-82,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-91,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-46,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-98,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-92,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"}];17;-93;-83.76471;-72;[{"SSID":"EasyLighting_23D222AE","level":-80},{"SSID":"katfiš","level":-85},{"SSID":"HP_WLAN","level":-72},{"SSID":"HP_WLAN 5 GHz","level":-90},{"SSID":"vivo Y35","level":-86},{"SSID":"ZTE_A70A8F","level":-82},{"SSID":"Liwest_8e74-5G","level":-92},{"SSID":"cleverfitclasses","level":-84},{"SSID":"Liwest_eddc-5G","level":-93},{"SSID":"cf-intern","level":-83},{"SSID":"Liwest_8e74","level":-72},{"SSID":"TCL-89X7-2.4GHz","level":-72},{"SSID":"Liwest_eddc","level":-90},{"SSID":"TCL-89X7-5GHz","level":-85},{"SSID":"EasyLighting_F0FE6B5E1EEE","level":-82},{"SSID":"clever fit","level":-83},{"SSID":"Liwest2472-EXT","level":-93}]
Outdoor;4;LTE;18:10:38;16.019;4.7720375;0.0;0.0;N/A;18:10:58;3.4;21.9;179.9;1.0;48; 18.0;22.9;33.0;44.0;[{"constellation":"BEIDOU","svid":11,"cn0":44.6},{"constellation":"GPS","svid":10,"cn0":44},{"constellation":"GPS","svid":23,"cn0":43},{"constellation":"BEIDOU","svid":22,"cn0":41.1},{"constellation":"GLONASS","svid":14,"cn0":39},{"constellation":"GLONASS","svid":7,"cn0":38.8},{"constellation":"GALILEO","svid":36,"cn0":38.7},{"constellation":"BEIDOU","svid":13,"cn0":34.6},{"constellation":"GLONASS","svid":24,"cn0":33.7},{"constellation":"GPS","svid":21,"cn0":33.4},{"constellation":"BEIDOU","svid":21,"cn0":31},{"constellation":"GPS","svid":32,"cn0":29.4},{"constellation":"GPS","svid":14,"cn0":28.4},{"constellation":"BEIDOU","svid":12,"cn0":28},{"constellation":"BEIDOU","svid":34,"cn0":27},{"constellation":"GPS","svid":27,"cn0":24.6},{"constellation":"GPS","svid":8,"cn0":23.7},{"constellation":"GLONASS","svid":8,"cn0":22.9}];11;-99;-84.818184;-43.0;[{"rssi":-97,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-99,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-43,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-82,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-91,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-46,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-98,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-92,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"}];17;-93;-83.76471;-72;[{"SSID":"EasyLighting_23D222AE","level":-80},{"SSID":"katfiš","level":-85},{"SSID":"HP_WLAN","level":-72},{"SSID":"HP_WLAN 5 GHz","level":-90},{"SSID":"vivo Y35","level":-86},{"SSID":"ZTE_A70A8F","level":-82},{"SSID":"Liwest_8e74-5G","level":-92},{"SSID":"cleverfitclasses","level":-84},{"SSID":"Liwest_eddc-5G","level":-93},{"SSID":"cf-intern","level":-83},{"SSID":"Liwest_8e74","level":-72},{"SSID":"TCL-89X7-2.4GHz","level":-72},{"SSID":"Liwest_eddc","level":-90},{"SSID":"TCL-89X7-5GHz","level":-85},{"SSID":"EasyLighting_F0FE6B5E1EEE","level":-82},{"SSID":"clever fit","level":-83},{"SSID":"Liwest2472-EXT","level":-93}]
Outdoor;4;LTE;18:10:58;24.04;3.8749835;0.0;0.0;N/A;18:11:00;2.8;20.9;179.9;1.2;48; 19.0;15.2;29.0;43.0;[{"constellation":"GPS","svid":23,"cn0":43.8},{"constellation":"GPS","svid":10,"cn0":43.5},{"constellation":"BEIDOU","svid":11,"cn0":38.7},{"constellation":"GALILEO","svid":36,"cn0":36.4},{"constellation":"BEIDOU","svid":21,"cn0":34.8},{"constellation":"GLONASS","svid":14,"cn0":33.3},{"constellation":"GPS","svid":32,"cn0":32.6},{"constellation":"BEIDOU","svid":22,"cn0":32.4},{"constellation":"BEIDOU","svid":13,"cn0":30.6},{"constellation":"GLONASS","svid":7,"cn0":28.5},{"constellation":"GPS","svid":21,"cn0":28},{"constellation":"GLONASS","svid":24,"cn0":27.5},{"constellation":"BEIDOU","svid":12,"cn0":26.9},{"constellation":"GPS","svid":14,"cn0":25.1},{"constellation":"GPS","svid":27,"cn0":24.6},{"constellation":"BEIDOU","svid":34,"cn0":24.5},{"constellation":"GPS","svid":2,"cn0":23},{"constellation":"BEIDOU","svid":37,"cn0":22.8},{"constellation":"GPS","svid":8,"cn0":15.2}];11;-99;-84.818184;-43.0;[{"rssi":-97,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-99,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-43,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-82,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-91,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-46,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-98,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-92,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"}];17;-93;-83.76471;-72;[{"SSID":"EasyLighting_23D222AE","level":-80},{"SSID":"katfiš","level":-85},{"SSID":"HP_WLAN","level":-72},{"SSID":"HP_WLAN 5 GHz","level":-90},{"SSID":"vivo Y35","level":-86},{"SSID":"ZTE_A70A8F","level":-82},{"SSID":"Liwest_8e74-5G","level":-92},{"SSID":"cleverfitclasses","level":-84},{"SSID":"Liwest_eddc-5G","level":-93},{"SSID":"cf-intern","level":-83},{"SSID":"Liwest_8e74","level":-72},{"SSID":"TCL-89X7-2.4GHz","level":-72},{"SSID":"Liwest_eddc","level":-90},{"SSID":"TCL-89X7-5GHz","level":-85},{"SSID":"EasyLighting_F0FE6B5E1EEE","level":-82},{"SSID":"clever fit","level":-83},{"SSID":"Liwest2472-EXT","level":-93}]
