label;cellStrength;cellType;timeStampNetwork;hAccuracyNetwork;vAccuracyNetwork;bAccuracyNetwork;speedAccuracyNetwork;networkLocationType;timeStampGPS;hAccuracyGPS;vAccuracyGPS;bAccuracyGPS;speedAccuracyGPS;nrSatellitesInView;nrSatellitesInFix;minCn0GPS;meanCn0GPS;maxCn0GPS;satellites;nrBlDevices;minCn0Bl;meanCn0Bl;maxCn0Bl;bluetoothDevices;nrWifiDevices;minCn0Wifi;meanCn0Wifi;maxCn0Wifi;wifiDevices
Outdoor;3;LTE;20:52:08;60.0;9.882904;0.0;0.0;N/A;20:52:10;3.7;10.9;179.9;1.8;55; 17.0;23.7;31.0;43.0;[{"constellation":"GLONASS","svid":2,"cn0":44.6},{"constellation":"GPS","svid":28,"cn0":39.9},{"constellation":"GALILEO","svid":10,"cn0":39.8},{"constellation":"GPS","svid":31,"cn0":36},{"constellation":"BEIDOU","svid":6,"cn0":34.8},{"constellation":"GPS","svid":32,"cn0":33.9},{"constellation":"GPS","svid":19,"cn0":32.6},{"constellation":"BEIDOU","svid":22,"cn0":32},{"constellation":"GLONASS","svid":1,"cn0":31.9},{"constellation":"GPS","svid":4,"cn0":31.3},{"constellation":"GLONASS","svid":18,"cn0":30.6},{"constellation":"GPS","svid":17,"cn0":29.2},{"constellation":"GPS","svid":3,"cn0":29},{"constellation":"BEIDOU","svid":9,"cn0":26.6},{"constellation":"GLONASS","svid":3,"cn0":25.3},{"constellation":"GLONASS","svid":17,"cn0":24.6},{"constellation":"GPS","svid":21,"cn0":23.9},{"constellation":"GPS","svid":2,"cn0":23.7}];2;-97;-95.0;-93.0;[{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-97,"majorClass":"Unknown Major Device Class","class":"Audio Video Video Display and Loudspeaker"}];2;-83;-80.5;-78;[{"SSID":"Liwest3412","level":-78},{"SSID":"Liwest_dcdc","level":-83}]
Outdoor;3;LTE;20:52:08;60.0;9.882904;0.0;0.0;N/A;20:52:10;3.7;10.9;179.9;1.8;55; 17.0;21.8;31.0;43.0;[{"constellation":"GPS","svid":28,"cn0":43.5},{"constellation":"GPS","svid":32,"cn0":41.7},{"constellation":"BEIDOU","svid":22,"cn0":39.3},{"constellation":"GLONASS","svid":2,"cn0":38.9},{"constellation":"GPS","svid":2,"cn0":36.5},{"constellation":"GALILEO","svid":10,"cn0":35.8},{"constellation":"GLONASS","svid":1,"cn0":33.6},{"constellation":"GPS","svid":17,"cn0":33.3},{"constellation":"GLONASS","svid":18,"cn0":33},{"constellation":"BEIDOU","svid":6,"cn0":32.6},{"constellation":"GALILEO","svid":11,"cn0":31},{"constellation":"BEIDOU","svid":16,"cn0":30.2},{"constellation":"GPS","svid":31,"cn0":30},{"constellation":"GPS","svid":19,"cn0":28},{"constellation":"GPS","svid":21,"cn0":27.6},{"constellation":"GPS","svid":3,"cn0":26.9},{"constellation":"GLONASS","svid":3,"cn0":26.7},{"constellation":"GPS","svid":4,"cn0":24.6},{"constellation":"GPS","svid":22,"cn0":24.3},{"constellation":"BEIDOU","svid":9,"cn0":23.7},{"constellation":"GLONASS","svid":17,"cn0":21.8}];4;-97;-86.75;-62.0;[{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-97,"majorClass":"Unknown Major Device Class","class":"Audio Video Video Display and Loudspeaker"},{"rssi":-62,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-95,"majorClass":"Uncategorised","class":"Unknown Device Class"}];2;-83;-80.5;-78;[{"SSID":"Liwest3412","level":-78},{"SSID":"Liwest_dcdc","level":-83}]
Outdoor;3;LTE;20:52:08;60.0;9.882904;0.0;0.0;N/A;20:52:14;2.2;13.4;168.4;1.5;55; 22.0;21.3;31.0;47.0;[{"constellation":"GLONASS","svid":2,"cn0":47.8},{"constellation":"GPS","svid":28,"cn0":43.5},{"constellation":"GPS","svid":32,"cn0":40.2},{"constellation":"GPS","svid":17,"cn0":38.2},{"constellation":"GALILEO","svid":10,"cn0":38},{"constellation":"BEIDOU","svid":21,"cn0":34.1},{"constellation":"GPS","svid":31,"cn0":33.8},{"constellation":"BEIDOU","svid":16,"cn0":33.3},{"constellation":"GLONASS","svid":18,"cn0":33.2},{"constellation":"BEIDOU","svid":9,"cn0":33.1},{"constellation":"BEIDOU","svid":22,"cn0":33.1},{"constellation":"GLONASS","svid":1,"cn0":31.9},{"constellation":"GPS","svid":2,"cn0":30.8},{"constellation":"GPS","svid":19,"cn0":28.3},{"constellation":"GALILEO","svid":11,"cn0":27.6},{"constellation":"GPS","svid":21,"cn0":27},{"constellation":"BEIDOU","svid":6,"cn0":26.8},{"constellation":"GPS","svid":22,"cn0":26},{"constellation":"GPS","svid":4,"cn0":23.8},{"constellation":"GLONASS","svid":10,"cn0":23.7},{"constellation":"GPS","svid":3,"cn0":21.9},{"constellation":"GLONASS","svid":17,"cn0":21.3}];4;-97;-86.75;-62.0;[{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-97,"majorClass":"Unknown Major Device Class","class":"Audio Video Video Display and Loudspeaker"},{"rssi":-62,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-95,"majorClass":"Uncategorised","class":"Unknown Device Class"}];2;-83;-80.5;-78;[{"SSID":"Liwest3412","level":-78},{"SSID":"Liwest_dcdc","level":-83}]
Outdoor;3;LTE;20:52:08;60.0;9.882904;0.0;0.0;N/A;20:52:16;2.1;14.5;101.6;0.9;55; 22.0;20.7;30.0;47.0;[{"constellation":"GLONASS","svid":2,"cn0":47.7},{"constellation":"GPS","svid":32,"cn0":44.3},{"constellation":"GPS","svid":28,"cn0":40.7},{"constellation":"GALILEO","svid":10,"cn0":39.9},{"constellation":"GPS","svid":17,"cn0":37.9},{"constellation":"BEIDOU","svid":21,"cn0":36.1},{"constellation":"GPS","svid":19,"cn0":35},{"constellation":"BEIDOU","svid":16,"cn0":33.4},{"constellation":"BEIDOU","svid":9,"cn0":33.2},{"constellation":"GPS","svid":3,"cn0":33.1},{"constellation":"BEIDOU","svid":22,"cn0":33.1},{"constellation":"GPS","svid":31,"cn0":31.8},{"constellation":"GALILEO","svid":11,"cn0":29.1},{"constellation":"GLONASS","svid":1,"cn0":28.8},{"constellation":"GLONASS","svid":18,"cn0":28.3},{"constellation":"GPS","svid":2,"cn0":27.6},{"constellation":"GPS","svid":21,"cn0":27.1},{"constellation":"GPS","svid":22,"cn0":25.9},{"constellation":"BEIDOU","svid":6,"cn0":25.7},{"constellation":"GPS","svid":4,"cn0":23.8},{"constellation":"GLONASS","svid":17,"cn0":21.4},{"constellation":"GLONASS","svid":10,"cn0":20.7}];5;-97;-88.6;-62.0;[{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-97,"majorClass":"Unknown Major Device Class","class":"Audio Video Video Display and Loudspeaker"},{"rssi":-62,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-95,"majorClass":"Uncategorised","class":"Unknown Device Class"}];2;-83;-80.5;-78;[{"SSID":"Liwest3412","level":-78},{"SSID":"Liwest_dcdc","level":-83}]
Outdoor;3;LTE;20:52:08;60.0;9.882904;0.0;0.0;N/A;20:52:18;1.9;13.7;99.7;0.8;55; 22.0;20.4;32.0;42.0;[{"constellation":"GLONASS","svid":2,"cn0":42.7},{"constellation":"BEIDOU","svid":21,"cn0":41.9},{"constellation":"GPS","svid":28,"cn0":40.2},{"constellation":"GLONASS","svid":1,"cn0":36.9},{"constellation":"GALILEO","svid":10,"cn0":36.2},{"constellation":"GLONASS","svid":18,"cn0":35.8},{"constellation":"GPS","svid":19,"cn0":33.5},{"constellation":"GPS","svid":17,"cn0":33.3},{"constellation":"BEIDOU","svid":16,"cn0":33.3},{"constellation":"BEIDOU","svid":9,"cn0":33.2},{"constellation":"GPS","svid":2,"cn0":33},{"constellation":"BEIDOU","svid":22,"cn0":33},{"constellation":"GPS","svid":32,"cn0":32.1},{"constellation":"GLONASS","svid":17,"cn0":31.9},{"constellation":"GPS","svid":31,"cn0":31.5},{"constellation":"BEIDOU","svid":6,"cn0":30.6},{"constellation":"GPS","svid":21,"cn0":26.9},{"constellation":"GPS","svid":3,"cn0":26.3},{"constellation":"GPS","svid":22,"cn0":25.9},{"constellation":"GPS","svid":4,"cn0":23.7},{"constellation":"GALILEO","svid":11,"cn0":22},{"constellation":"GLONASS","svid":10,"cn0":20.4}];5;-97;-88.6;-62.0;[{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-97,"majorClass":"Unknown Major Device Class","class":"Audio Video Video Display and Loudspeaker"},{"rssi":-62,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-95,"majorClass":"Uncategorised","class":"Unknown Device Class"}];4;-94;-91.0;-84;[{"SSID":"A1-Mesh-Lg9u3H","level":-94},{"SSID":"","level":-93},{"SSID":"","level":-93},{"SSID":"Liwest_dcdc","level":-84}]
Outdoor;3;LTE;20:52:08;60.0;9.882904;0.0;0.0;N/A;20:52:20;1.9;14.9;159.0;0.9;55; 21.0;21.6;32.0;42.0;[{"constellation":"GLONASS","svid":2,"cn0":42.6},{"constellation":"GLONASS","svid":1,"cn0":40.8},{"constellation":"GPS","svid":28,"cn0":39.2},{"constellation":"BEIDOU","svid":21,"cn0":38.5},{"constellation":"BEIDOU","svid":22,"cn0":38.4},{"constellation":"GPS","svid":19,"cn0":38.3},{"constellation":"BEIDOU","svid":9,"cn0":38.1},{"constellation":"GPS","svid":31,"cn0":35.4},{"constellation":"GPS","svid":32,"cn0":35.3},{"constellation":"GLONASS","svid":18,"cn0":35.2},{"constellation":"GPS","svid":2,"cn0":33.6},{"constellation":"GPS","svid":17,"cn0":29},{"constellation":"BEIDOU","svid":16,"cn0":28.1},{"constellation":"GALILEO","svid":10,"cn0":27.8},{"constellation":"GLONASS","svid":17,"cn0":27.6},{"constellation":"GPS","svid":22,"cn0":25.9},{"constellation":"GPS","svid":3,"cn0":24.2},{"constellation":"GPS","svid":4,"cn0":23.7},{"constellation":"GALILEO","svid":11,"cn0":22.6},{"constellation":"GPS","svid":21,"cn0":21.6}];5;-97;-88.6;-62.0;[{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-97,"majorClass":"Unknown Major Device Class","class":"Audio Video Video Display and Loudspeaker"},{"rssi":-62,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-95,"majorClass":"Uncategorised","class":"Unknown Device Class"}];4;-94;-91.0;-84;[{"SSID":"A1-Mesh-Lg9u3H","level":-94},{"SSID":"","level":-93},{"SSID":"","level":-93},{"SSID":"Liwest_dcdc","level":-84}]
Outdoor;3;LTE;20:52:08;60.0;9.882904;0.0;0.0;N/A;20:52:22;1.9;15.6;179.9;1.4;55; 22.0;21.4;31.0;42.0;[{"constellation":"GLONASS","svid":2,"cn0":42.6},{"constellation":"GLONASS","svid":1,"cn0":38.3},{"constellation":"BEIDOU","svid":9,"cn0":38},{"constellation":"GALILEO","svid":10,"cn0":37.3},{"constellation":"GPS","svid":31,"cn0":36.7},{"constellation":"GPS","svid":17,"cn0":36.6},{"constellation":"GPS","svid":19,"cn0":36.5},{"constellation":"GLONASS","svid":18,"cn0":35.4},{"constellation":"BEIDOU","svid":22,"cn0":35},{"constellation":"GPS","svid":2,"cn0":33.9},{"constellation":"GPS","svid":28,"cn0":33.4},{"constellation":"GPS","svid":32,"cn0":33.4},{"constellation":"BEIDOU","svid":16,"cn0":33.1},{"constellation":"BEIDOU","svid":21,"cn0":32.3},{"constellation":"GLONASS","svid":17,"cn0":29.3},{"constellation":"GPS","svid":22,"cn0":26},{"constellation":"GALILEO","svid":11,"cn0":24.1},{"constellation":"GPS","svid":4,"cn0":23.8},{"constellation":"GPS","svid":3,"cn0":23.5},{"constellation":"GPS","svid":21,"cn0":21.7},{"constellation":"BEIDOU","svid":6,"cn0":21.4}];5;-97;-88.6;-62.0;[{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-97,"majorClass":"Unknown Major Device Class","class":"Audio Video Video Display and Loudspeaker"},{"rssi":-62,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-95,"majorClass":"Uncategorised","class":"Unknown Device Class"}];4;-94;-91.0;-84;[{"SSID":"A1-Mesh-Lg9u3H","level":-94},{"SSID":"","level":-93},{"SSID":"","level":-93},{"SSID":"Liwest_dcdc","level":-84}]
Outdoor;3;LTE;20:52:08;60.0;9.882904;0.0;0.0;N/A;20:52:26;1.8;13.7;160.9;1.1;55; 25.0;17.4;30.0;42.0;[{"constellation":"GLONASS","svid":2,"cn0":42.5},{"constellation":"GLONASS","svid":1,"cn0":40.8},{"constellation":"BEIDOU","svid":21,"cn0":39.7},{"constellation":"GPS","svid":17,"cn0":39.3},{"constellation":"GLONASS","svid":18,"cn0":38.8},{"constellation":"BEIDOU","svid":22,"cn0":38.4},{"constellation":"BEIDOU","svid":9,"cn0":38.1},{"constellation":"GPS","svid":32,"cn0":37.9},{"constellation":"GALILEO","svid":10,"cn0":37.6},{"constellation":"GPS","svid":28,"cn0":37.5},{"constellation":"GPS","svid":31,"cn0":36.5},{"constellation":"GPS","svid":19,"cn0":36.1},{"constellation":"BEIDOU","svid":16,"cn0":35.5},{"constellation":"GPS","svid":2,"cn0":31.8},{"constellation":"GLONASS","svid":3,"cn0":25.6},{"constellation":"BEIDOU","svid":34,"cn0":25.6},{"constellation":"BEIDOU","svid":6,"cn0":24.3},{"constellation":"GPS","svid":4,"cn0":23.9},{"constellation":"GPS","svid":3,"cn0":23.7},{"constellation":"GLONASS","svid":17,"cn0":22.6},{"constellation":"GALILEO","svid":11,"cn0":22},{"constellation":"GLONASS","svid":10,"cn0":19.8},{"constellation":"BEIDOU","svid":11,"cn0":19.1},{"constellation":"GPS","svid":22,"cn0":17.8},{"constellation":"GPS","svid":21,"cn0":17.4}];5;-97;-88.6;-62.0;[{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-97,"majorClass":"Unknown Major Device Class","class":"Audio Video Video Display and Loudspeaker"},{"rssi":-62,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-95,"majorClass":"Uncategorised","class":"Unknown Device Class"}];4;-94;-91.0;-84;[{"SSID":"A1-Mesh-Lg9u3H","level":-94},{"SSID":"","level":-93},{"SSID":"","level":-93},{"SSID":"Liwest_dcdc","level":-84}]
Outdoor;3;LTE;20:52:08;60.0;9.882904;0.0;0.0;N/A;20:52:28;1.7;13.1;179.9;0.9;55; 25.0;15.3;30.0;42.0;[{"constellation":"GLONASS","svid":2,"cn0":42.5},{"constellation":"BEIDOU","svid":21,"cn0":39.5},{"constellation":"GPS","svid":17,"cn0":39.2},{"constellation":"GLONASS","svid":18,"cn0":39},{"constellation":"GPS","svid":32,"cn0":38.3},{"constellation":"GLONASS","svid":1,"cn0":38.2},{"constellation":"BEIDOU","svid":9,"cn0":38.2},{"constellation":"BEIDOU","svid":22,"cn0":38.2},{"constellation":"GPS","svid":28,"cn0":37.7},{"constellation":"GALILEO","svid":10,"cn0":37.6},{"constellation":"GPS","svid":31,"cn0":36.5},{"constellation":"GPS","svid":19,"cn0":36.1},{"constellation":"BEIDOU","svid":16,"cn0":35.5},{"constellation":"GPS","svid":2,"cn0":29.2},{"constellation":"GPS","svid":3,"cn0":26.5},{"constellation":"BEIDOU","svid":34,"cn0":24.4},{"constellation":"BEIDOU","svid":6,"cn0":24.3},{"constellation":"GPS","svid":4,"cn0":23.8},{"constellation":"GLONASS","svid":3,"cn0":23.6},{"constellation":"GLONASS","svid":17,"cn0":22.6},{"constellation":"GPS","svid":22,"cn0":20.5},{"constellation":"GALILEO","svid":11,"cn0":20.3},{"constellation":"GLONASS","svid":10,"cn0":19.5},{"constellation":"BEIDOU","svid":11,"cn0":19.1},{"constellation":"GPS","svid":21,"cn0":15.3}];5;-97;-88.6;-62.0;[{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-97,"majorClass":"Unknown Major Device Class","class":"Audio Video Video Display and Loudspeaker"},{"rssi":-62,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-95,"majorClass":"Uncategorised","class":"Unknown Device Class"}];4;-94;-91.0;-84;[{"SSID":"A1-Mesh-Lg9u3H","level":-94},{"SSID":"","level":-93},{"SSID":"","level":-93},{"SSID":"Liwest_dcdc","level":-84}]
Outdoor;3;LTE;20:52:28;82.5;19.448923;0.0;0.0;N/A;20:52:30;1.7;13.6;179.9;0.8;55; 28.0;16.3;28.0;41.0;[{"constellation":"GPS","svid":32,"cn0":41.2},{"constellation":"GLONASS","svid":2,"cn0":39.8},{"constellation":"GPS","svid":17,"cn0":39.1},{"constellation":"GLONASS","svid":18,"cn0":39.1},{"constellation":"GLONASS","svid":1,"cn0":38.1},{"constellation":"BEIDOU","svid":9,"cn0":38},{"constellation":"GPS","svid":28,"cn0":37.9},{"constellation":"GALILEO","svid":10,"cn0":37.5},{"constellation":"GPS","svid":31,"cn0":36.4},{"constellation":"GPS","svid":19,"cn0":36},{"constellation":"BEIDOU","svid":16,"cn0":35.7},{"constellation":"BEIDOU","svid":22,"cn0":32.6},{"constellation":"BEIDOU","svid":21,"cn0":30},{"constellation":"GLONASS","svid":17,"cn0":27.8},{"constellation":"GPS","svid":2,"cn0":27.4},{"constellation":"GPS","svid":3,"cn0":26.5},{"constellation":"BEIDOU","svid":34,"cn0":24.2},{"constellation":"GPS","svid":21,"cn0":23.8},{"constellation":"GPS","svid":4,"cn0":23.7},{"constellation":"GPS","svid":22,"cn0":23.6},{"constellation":"GLONASS","svid":3,"cn0":23.6},{"constellation":"GLONASS","svid":10,"cn0":20.9},{"constellation":"BEIDOU","svid":6,"cn0":20.4},{"constellation":"BEIDOU","svid":28,"cn0":20.4},{"constellation":"BEIDOU","svid":33,"cn0":20.4},{"constellation":"BEIDOU","svid":11,"cn0":18},{"constellation":"BEIDOU","svid":14,"cn0":16.8},{"constellation":"GALILEO","svid":11,"cn0":16.3}];5;-97;-88.6;-62.0;[{"rssi":-93,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-96,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-97,"majorClass":"Unknown Major Device Class","class":"Audio Video Video Display and Loudspeaker"},{"rssi":-62,"majorClass":"Uncategorised","class":"Unknown Device Class"},{"rssi":-95,"majorClass":"Uncategorised","class":"Unknown Device Class"}];4;-94;-91.0;-84;[{"SSID":"A1-Mesh-Lg9u3H","level":-94},{"SSID":"","level":-93},{"SSID":"","level":-93},{"SSID":"Liwest_dcdc","level":-84}]
