label,cellStrength,hAccuracyNetwork,vAccuracyNetwork,hAccuracyGPS,vAccuracyGPS,bAccuracyGPS,speedAccuracyGPS,nrSatellitesInView,nrSatellitesInFix,minCn0GPS,meanCn0GPS,maxCn0GPS,nrBlDevices,minCn0Bl,meanCn0Bl,maxCn0Bl,nrWifiDevices,minCn0Wifi,meanCn0Wifi,maxCn0Wifi,satellite_cn0_median,satellite_cn0_mode,satellite_cn0_std,satellite_cn0_range,bluetooth_rssi_median,bluetooth_rssi_mode,bluetooth_rssi_std,bluetooth_rssi_range,wifi_rssi_median,wifi_rssi_mode,wifi_rssi_range
Indoor,3.0,31.42075,4.380242579166667,0.0,0.0,0.0,0.0,42.958333333333336,0.0,0.0,0.0,0.0,7.833333333333333,-98.0,-78.74236166666667,-41.0,9.708333333333334,-88.5,-71.84338116666667,-47.666666666666664,0.0,0.0,0.0,0.0,-90.41666666666667,-98.0,23.345390261058526,57.0,-73.875,-87.83333333333333,40.833333333333336
Indoor,3.92,21.47708,2.7903162960000003,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,54.48,-99.0,-83.37462912,-45.0,19.0,-91.0,-81.31579000000002,-75.0,0.0,0.0,0.0,0.0,-86.54,-91.8,12.34897278711245,54.0,-81.0,-82.0,16.0
Indoor,3.68,16.14856,1.88853692,4.58,82.104,131.012,2.6000000000000005,42.72,4.36,3.8080000000000003,14.24,16.64,12.4,-96.0,-86.11751112,-67.16,14.0,-90.0,-80.42857,-70.0,4.093999999999999,3.8080000000000003,0.3812435561961554,0.9600000000000002,-89.16,-90.96,9.13957257627331,28.84,-82.5,-86.0,20.0
Indoor,3.3870967741935485,20.76093548387097,2.048114035483871,3.6612903225806446,32.83870967741935,148.71612903225807,2.5161290322580645,47.96774193548387,14.258064516129032,16.60322580645161,22.548387096774192,31.35483870967742,32.03225806451613,-99.0,-84.55365380645162,-50.96774193548387,16.70967741935484,-86.90322580645162,-76.4597664516129,-65.51612903225806,22.958064516129028,18.85483870967742,4.605384778748076,15.477419354838707,-87.12903225806451,-95.64516129032258,12.264946592736942,48.03225806451613,-74.90322580645162,-85.45161290322581,21.387096774193548
Indoor,1.5,19.781875,2.15727154,2.5149999999999997,20.207500000000003,151.42999999999998,1.01,46.875,24.125,16.6125,25.7,43.75,8.975,-89.475,-71.1246429,-49.0,4.275,-86.875,-73.904166,-64.475,24.93,22.4075,7.482373627676869,27.51,-74.0875,-81.5,13.924079162461192,40.475,-71.4125,-82.55,22.4
Indoor,2.0,13.48382758620689,1.246067517241379,0.0,0.0,0.0,0.0,32.37931034482759,0.0,0.0,0.0,0.0,35.48275862068966,-100.0,-88.74799013793104,-50.86206896551724,18.0,-86.0,-65.88888500000002,-38.0,0.0,0.0,0.0,0.0,-91.77586206896552,-95.82758620689656,10.434338985378703,49.13793103448276,-74.0,-86.0,48.0
Indoor,4.0,15.540321428571431,2.9498473678571435,4.792857142857144,30.11785714285714,155.47499999999997,2.467857142857143,47.642857142857146,8.535714285714286,16.96071428571429,23.178571428571427,32.607142857142854,14.142857142857142,-100.0,-89.49056792857144,-71.0,10.0,-95.0,-79.7,-67.0,23.280357142857145,17.671428571428574,5.7537660469650955,15.885714285714286,-91.64285714285714,-99.57142857142857,9.152154972570772,29.0,-79.0,-95.0,28.0
Indoor,3.0,18.294666666666668,3.7361730333333325,6.311111111111111,48.26296296296295,148.7962962962963,2.2481481481481485,47.7037037037037,5.814814814814815,16.68148148148148,20.59259259259259,27.62962962962963,8.74074074074074,-99.0,-72.51576125925925,-47.0,16.555555555555557,-90.33333333333333,-77.81209222222222,-65.55555555555556,20.7,17.044444444444444,4.311324539413972,11.337037037037035,-75.92592592592592,-96.92592592592592,22.114744165743474,52.0,-76.0,-84.77777777777777,24.77777777777778
Indoor,2.033333333333333,16.52986666666666,1.7707797266666667,0.0,0.0,0.0,0.0,37.4,0.0,0.0,0.0,0.0,31.9,-100.0,-87.05199386666666,-51.166666666666664,18.0,-86.0,-65.88888500000002,-38.0,0.0,0.0,0.0,0.0,-89.58333333333333,-92.36666666666666,11.591638613694837,48.833333333333336,-74.0,-86.0,48.0
Indoor,3.607142857142857,18.137892857142855,4.540289917857143,3.814285714285714,32.86071428571429,152.01785714285714,2.275,48.0,16.535714285714285,14.3,22.285714285714285,33.964285714285715,6.321428571428571,-99.21428571428571,-84.43877435714285,-49.42857142857143,16.0,-87.0,-77.0625,-65.0,22.891071428571426,18.974999999999998,5.197547296653662,20.307142857142853,-93.67857142857143,-99.21428571428571,19.578388952430235,49.785714285714285,-76.0,-87.0,22.0
Indoor,1.1481481481481481,448.833,1.852529666666667,10.91111111111111,50.77777777777777,67.95185185185186,1.6333333333333333,40.925925925925924,2.6666666666666665,11.433333333333334,11.88888888888889,13.703703703703704,11.925925925925926,-98.0,-74.32672311111112,-41.77777777777778,13.703703703703704,-89.11111111111111,-77.20395037037036,-69.25925925925925,13.005555555555555,11.488888888888889,1.5369769452648538,3.437037037037037,-80.0,-98.0,18.417529725344057,56.22222222222222,-75.64814814814815,-75.4074074074074,19.85185185185185
Indoor,3.193548387096774,18.12735483870968,1.8727179645161298,4.716129032258063,46.24193548387097,150.2387096774193,2.770967741935484,47.38709677419355,8.580645161290322,16.832258064516132,20.193548387096776,25.032258064516128,3.7096774193548385,-90.0,-64.62903148387097,-37.516129032258064,16.0,-87.0,-77.0625,-65.0,21.122580645161285,18.21290322580645,3.065953921214829,8.825806451612904,-65.83870967741936,-90.0,23.779101160731877,52.483870967741936,-76.0,-87.0,22.0
