timestamp,predictionRFC_Indoor,predictionRFC_Outdoor,predictionLSTM_Indoor,predictionLSTM_Outdoor
2024-06-21 17:19:59,0.49,0.51,0.05261341,0.94738656
2024-06-21 17:20:00,0.27,0.73,0.02852238,0.97147757
2024-06-21 17:20:02,0.31,0.69,0.13859002,0.8614099
2024-06-21 17:20:03,0.28,0.72,0.032571167,0.9674288
2024-06-21 17:20:05,0.36,0.64,0.13354097,0.866459
2024-06-21 17:20:06,0.78,0.22,0.4679903,0.5320097
2024-06-21 17:20:07,0.81,0.19,0.63847524,0.36152482
2024-06-21 17:20:09,0.91,0.09,0.98636603,0.013634027
2024-06-21 17:20:10,0.99,0.01,0.99673814,0.00326184
